## Scaife et al. 2011, 2012 Perseus and Serpens
## Units of Pdot are (Moyr^-1kms^-1)
## Units of Sd**2 are [mJykpc**2]  
Name              dist(kpc)      Flux(uJy)         Sd**2          Lbol(Lo)       Pdot       Refs
Ang34                 na              na              1.8e-1          148.          5.3e-4      Anglada_95                
Ang35                 na              na              2.3e-1          120.          9.4e-4      Anglada_95                
Ang36                 na              na              7.0e-2          40.           4.3e-4      Anglada_95                
Ang37                 na              na              1.9e-1          300.          3.2e-3      Anglada_95                
Ang38                 na              na              2.1e-2          14.           4.0e-5      Anglada_95                
Ang39                 na              na              4.2e-2          27.           8.6e-5      Anglada_95                
Ang40                 na              na              4.8e-2          14.           4.9e-5      Anglada_95                
Ang41                 na              na              1.1e-2          1.            2.8e-5      Anglada_95                
Ang42                 na              na              9.0e-3          3.            4.5e-5      Anglada_95                
Ang43                 na              na              3.4e-3          1.            5.4e-6      Anglada_95                
Ang44                 na              na              1.2e-0          520.          5.1e-3      Anglada_95                
Ang45                 na              na              3.2e-1          19.           2.3e-5      Anglada_95                
16547                 na              na              73.167          6.0e4         4.0e-1      Anglada_talk     
HH80                  1.7             na              8.67            2.0e4         5.3e-2      Anglada_talk     
CepA                  na              na              3.63            1.0e4         5.4e-3      Anglada_talk     
20126                 na              na              0.578           1.3e4         9.3e-2      Anglada_talk     
18566                 na              na              31.42           6.3e4         7.2e-3      Anglada_talk     
V645Cyg               na              na              7.35            4.0e4         7.0e-4      Anglada_talk     
GL5142-2              na              na              0.97            3.8e3         1.0e-2      Anglada_talk     
GL5142-1              na              na              3.24            3.8e3         4.8e-3      Anglada_talk     
W75N(B)VLA1           na              na              16.0            1.5e4         0.0         Garay_talk    
18162 	              na              na              14.45           1.7e4         0.0         Garay_talk   
G35.2-0.7N            na              na              1.6             1.6e4         0.0         Garay_talk    
18089-1732            na              na              14.256          3.2e4         5.0e-4      Garay_talk     
CRL2136-RS4           na              na              2.24            5.0e4         0.0         Garay_talk    
16547-4247            na              na              49.619          6.2e4         0.0         Garay_talk    
16562-3959            na              na              20.736          7.0e4         0.0         Garay_talk    
W75N-VLA3             na              na              16.0            1.4e5         0.0         Garay_talk     
#G331.512-0.103B       na              na              6909.           6.0e5         0.0         Garay_talk    
#G331.512-0.103C       na              na              4655.           7.0e5         0.0         Garay_talk    
G10.841-2.592         1.9             3600.           na              2.8e4         na          Kurtz_94                  
G18.146-0.284         4.2             48600.          na              24.8e4        na          Kurtz_94             
G28.200-0.049         9.1             297000.         na              47.6e4        na          Kurtz_94             
G28.288-0.364         3.3             784000.         na              11.7e4        na          Kurtz_94             
G33.133-0.092         7.1             461200.         na              12.8e4        na          Kurtz_94             
G35.200-1.741         3.2             1778200.        na              28.9e4        na          Kurtz_94             
G37.874-0.399         9.2             2342800.        na              72.6e4        na          Kurtz_94             
G48.606+0.0024        9.7             4200.           na              84.7e4        na          Kurtz_94             
G60.884-0.128         2.3             31800.          na              5.4e4         na          Kurtz_94             
G76.383-0.621         1.0             14900.          na              3.2e4         na          Kurtz_94             
G78.438+2.659         3.3             82200.          na              7.0e4         na          Kurtz_94             
G81.68+0.54           2.0             738300.         na              4.0e4         na          Kurtz_94             
G111.282-0.663        2.5             101200.         na              3.1e4         na          Kurtz_94             
G111.612+0.374        5.2             787.9e3         na              18.6e4        na          Kurtz_94 
