col0 method number_of_models_used mcore Dmcore sigma Dsigma mstar Dmstar theta_view Dtheta_view dist av Dav rcore Drcore massenv Dmassenv theta_w_esc Dtheta_w_esc rstar Drstar lstar Dlstar tstar Dtstar mdisk Dmdisk rdisk Drdisk mdotd Dmdotd lbol Dlbol lbol_iso Dlbol_iso lbol_av Dlbol_av t_now Dt_now Source_Name
"" "average model method 2" 47 329.93011 1.50034 0.90614 2.83408 63.41649 1.59169 53.79492 14.62616 8300.0 20.71434 19.06151 0.14041 2.02807 163.20045 1.42335 4.14621e+01 9.34097 13.25628 1.29603 6.95488e+05 1.94455 4.58051e+04 1.12649 21.13883 1.59169 2.10362e+02 2.09416 8.99054e-04 1.90278 8.41339e+05 1.82346 2.06261e+05 1.24925 1.67207e+05 1.07807 1.16920e+05 2.33480 G028.2447+00.0131
"" "average model method 2" 30 325.14028 1.43047 1.46716 2.26735 49.85441 1.71377 42.23890 10.45377 11800.0 18.91736 18.37047 0.10955 1.77186 198.83433 1.34503 3.25830e+01 10.46804 14.12084 1.38358 5.51651e+05 2.00454 4.18830e+04 1.21366 16.61814 1.71377 1.32177e+02 2.00803 1.25773e-03 1.58104 6.84454e+05 1.91053 2.74120e+05 1.24598 2.28224e+05 1.10170 7.10718e+04 2.09449 G031.0709+00.0508
"" "average model method 2" 63 337.20627 1.39083 1.76148 1.78574 41.50736 1.68659 44.42261 13.97860 10900.0 25.24237 29.28500 0.10181 1.55591 236.16532 1.32647 2.69731e+01 9.54859 15.46219 1.46409 4.47589e+05 1.87222 3.79871e+04 1.29909 13.83579 1.68659 1.01676e+02 1.85157 1.39920e-03 1.26832 5.53728e+05 1.83405 2.54117e+05 1.31384 2.09183e+05 1.12522 5.53143e+04 1.84101 G033.8113-00.1893
"" "average model method 2" 163 340.05398 1.45949 0.93130 2.70904 53.07124 1.62554 55.84448 16.32469 11500.0 18.13818 23.39128 0.14061 1.95158 198.63181 1.45733 3.55493e+01 10.27151 13.09862 1.36093 5.42981e+05 1.92605 4.33147e+04 1.19887 17.69041 1.62554 1.73642e+02 2.05910 9.03834e-04 1.83296 6.56038e+05 1.85076 1.94748e+05 1.29613 1.66445e+05 1.15127 1.02313e+05 2.28003 G034.1324+00.4700
"" "average model method 2" 83 340.20202 1.47848 0.86998 2.78273 57.52541 1.59238 53.82844 15.92183 10400.0 17.05810 20.57968 0.14552 2.00136 187.25018 1.46067 3.79419e+01 9.88114 13.00487 1.30416 6.05584e+05 1.86532 4.46727e+04 1.15633 19.17514 1.59238 1.92690e+02 2.08882 8.70993e-04 1.84108 7.29975e+05 1.76631 2.08552e+05 1.25459 1.76994e+05 1.10203 1.12642e+05 2.32511 G035.5734+00.0679
"" "average model method 2" 4 339.41125 1.49211 1.77764 1.94310 51.57936 1.57796 36.16272 7.78897 9200.0 1.44585 2.10245 0.10168 1.70273 214.37685 1.52468 3.12652e+01 7.74519 12.57699 1.27317 5.68337e+05 1.80364 4.47110e+04 1.11734 17.19312 1.57796 1.21675e+02 1.72735 1.53358e-03 1.35080 7.50127e+05 1.68041 4.24511e+05 1.11443 4.13387e+05 1.10031 6.18859e+04 1.79141 G037.7633-00.2167
"" "average model method 2" 39 276.59040 1.63995 0.18045 3.53561 40.27763 1.51596 65.95819 16.55568 8800.0 13.59458 14.86083 0.28810 2.38206 145.31588 1.97183 4.18558e+01 10.63043 9.43600 1.35800 2.49108e+05 2.09177 4.20005e+04 1.17288 13.42588 1.51596 3.49418e+02 2.08793 1.99762e-04 2.15740 2.79762e+05 2.03548 7.89391e+04 1.22084 6.79654e+04 1.06143 3.24107e+05 2.51749 G039.7277-00.3973
"" "average model method 2" 5262 93.99443 2.29976 0.50577 3.33631 6.99604 3.41253 57.23744 21.62035 6000.0 203.16738 284.83176 0.10032 2.41560 55.60087 3.09708 2.79410e+01 19.73869 8.21802 2.35745 1.56124e+03 76.74768 1.26630e+04 2.53810 2.33201 3.41253 7.16994e+01 3.04510 1.49554e-04 2.59641 1.13706e+04 8.94336 7.32118e+03 7.82559 2.43234e+03 2.53064 7.96998e+04 2.89999 G045.4790+00.1294
"" "average model method 2" 17 398.52952 1.19987 2.25279 1.71667 30.44025 1.47357 33.96692 7.60756 9500.0 21.90734 26.28784 0.09787 1.40318 333.42246 1.17551 1.79639e+01 6.76693 22.35563 1.66412 3.20242e+05 1.36178 2.90555e+04 1.37993 10.14675 1.47357 6.64939e+01 1.70099 1.59173e-03 1.25575 3.79146e+05 1.45502 2.85258e+05 1.18399 2.47030e+05 1.07060 3.70241e+04 1.77502 G050.2834-00.3904
"" "average model method 2" 123 350.16938 1.52399 0.48169 4.11945 57.63821 1.57079 55.60730 16.18044 9900.0 4.29836 11.22376 0.19841 2.43224 180.74539 1.65710 4.07911e+01 11.34028 12.58425 1.30932 5.75386e+05 1.87999 4.48361e+04 1.13785 19.21274 1.57079 2.65146e+02 2.38766 5.38154e-04 2.58966 6.67008e+05 1.81517 1.97182e+05 1.38669 1.85564e+05 1.29302 1.75825e+05 2.97415 G053.1865+00.2085
"" "average model method 2" 886 336.94335 1.40045 1.22425 2.25699 33.94492 1.76045 57.30102 21.16596 5800.0 22.90697 57.65271 0.12208 1.70137 240.97795 1.52287 2.57566e+01 11.76079 13.68001 1.74695 2.64501e+05 2.37332 3.54091e+04 1.43396 11.31497 1.76045 1.04199e+02 2.00386 9.58173e-04 1.68127 3.36132e+05 2.32072 1.99396e+05 2.81102 1.36726e+05 1.46115 6.52677e+04 2.08046 G060.8838-00.1295
"" "average model method 2" 84 345.96653 1.65030 0.26454 3.83049 55.41817 1.61287 65.53439 17.27675 9600.0 12.45071 13.08347 0.26611 2.46145 166.87451 1.90729 4.35812e+01 11.70824 11.93042 1.40207 4.88252e+05 2.07728 4.41962e+04 1.19830 18.47272 1.61287 3.57453e+02 2.24491 3.20643e-04 2.28422 5.44302e+05 2.00797 1.32519e+05 1.22752 1.16184e+05 1.09711 2.72959e+05 2.71622 G061.2875-00.3327
