#                Mst       Rst                 Lst                 Tst                Phi                 sig
       6.2901809           22.542032           4507.7582           9966.5754          0.13646774E+40      0.35708537E-17
       6.6377816           20.866061           5476.7234           10876.194          0.17821108E+41      0.40563988E-17
       7.0045910           19.049216           6711.3864           11976.894          0.15548542E+42      0.45985993E-17
       7.3916707           17.064767           8270.6832           13331.990          0.18510166E+43      0.48682425E-17
       7.8001407           14.972856           10168.783           14990.541          0.20318641E+44      0.50492360E-17
       8.2311831           12.849337           12379.413           16999.050          0.20091996E+45      0.49980609E-17
       8.6860452           10.827740           14859.650           19377.018          0.11276376E+46      0.48559593E-17
       9.1660435           9.0341770           17557.697           22126.334          0.52992715E+46      0.46687799E-17
       9.6725668           7.4979207           20317.100           25189.963          0.39952914E+47      0.43417625E-17
       10.207081           6.4974614           22179.906           27800.202          0.69846766E+47      0.41853340E-17
       10.771133           5.5824734           23709.700           30330.000          0.26468123E+48      0.38828626E-17
       11.366355           5.0211223           23554.681           31930.256          0.26911858E+48      0.38149403E-17
       11.994469           4.7181764           22893.360           32703.627          0.32343712E+48      0.37614978E-17
       12.657294           4.6351316           22804.109           32962.728          0.35042967E+48      0.37414094E-17
       13.356747           4.6875698           24038.082           33212.297          0.39570611E+48      0.37252598E-17
       14.094852           4.7801015           25982.303           33534.334          0.46593527E+48      0.37041260E-17
       14.873745           4.8925760           28334.032           33872.736          0.55574552E+48      0.36803132E-17
       15.695681           5.0159730           30910.458           34190.064          0.65274551E+48      0.36578452E-17
       16.563038           5.1606313           33945.704           34505.473          0.76652804E+48      0.36344090E-17
       17.478325           5.3164526           37134.263           34767.492          0.88636753E+48      0.36130897E-17
       18.444192           5.4904409           40647.834           34994.826          0.10182081E+49      0.35928585E-17
       19.463434           5.6759293           44075.175           35121.932          0.11283831E+49      0.35820566E-17
       20.539000           5.8692400           44641.600           34649.400          0.10393308E+49      0.36229080E-17
