# m[Msun] r[Rsun] L[Lsun] T[K] Q[/s] Sdd[mJy kpc2]
        0.11078E-001         3.5899             0.59105              2670.4             0.22430E+013        0.25785E-031        0.21605E-031
        0.11413E-001         3.6237             0.61156              2680.7             0.27074E+013        0.31123E-031        0.25203E-031
        0.11755E-001         3.6541             0.63303              2692.6             0.33538E+013        0.38555E-031        0.30162E-031
        0.12108E-001         3.6921             0.65442              2701.1             0.39332E+013        0.45215E-031        0.34217E-031
        0.12478E-001         3.7212             0.67813              2714.5             0.49778E+013        0.57224E-031        0.41790E-031
        0.12852E-001         3.7538             0.70207              2726.3             0.61322E+013        0.70494E-031        0.49726E-031
        0.13236E-001         3.7816             0.72761              2740.6             0.78462E+013        0.90198E-031        0.61391E-031
        0.13635E-001         3.8154             0.75383              2752.7             0.97063E+013        0.11158E-030        0.73303E-031
        0.14057E-001         3.8430             0.78264              2768.7             0.12715E+014        0.14617E-030        0.92491E-031
        0.14479E-001         3.8794             0.81093              2780.2             0.15571E+014        0.17900E-030        0.10931E-030
        0.14908E-001         3.9032             0.84175              2797.7             0.20803E+014        0.23915E-030        0.14070E-030
        0.15348E-001         3.9355             0.87324              2811.9             0.26466E+014        0.30425E-030        0.17254E-030
        0.15810E-001         3.9609             0.90781              2830.2             0.35727E+014        0.41071E-030        0.22405E-030
        0.16299E-001         3.9835             0.94564              2851.1             0.50036E+014        0.57520E-030        0.30123E-030
        0.16788E-001         4.0040             0.98552              2873.3             0.71299E+014        0.81964E-030        0.41187E-030
        0.17281E-001         4.0149              1.0279              2899.7             0.10750E+015        0.12358E-029        0.59540E-030
        0.17783E-001         4.0055              1.0735              2934.8             0.18219E+015        0.20944E-029        0.96619E-030
        0.18316E-001         3.9939              1.1225              2972.1             0.31653E+015        0.36387E-029        0.16054E-029
        0.18866E-001         3.9778              1.1746              3012.1             0.56721E+015        0.65204E-029        0.27491E-029
        0.19435E-001         3.9617              1.2297              3053.0             0.10220E+016        0.11748E-028        0.47312E-029
        0.20028E-001         3.9422              1.2887              3096.6             0.18950E+016        0.21784E-028        0.83716E-029
        0.20647E-001         3.9229              1.3511              3141.1             0.35303E+016        0.40583E-028        0.14875E-028
        0.21267E-001         3.9038              1.4154              3185.5             0.65109E+016        0.74847E-028        0.26189E-028
        0.21889E-001         3.8863              1.4812              3229.2             0.11789E+017        0.13552E-027        0.45311E-028
        0.22545E-001         3.8687              1.5513              3274.2             0.21540E+017        0.24762E-027        0.79049E-028
        0.23239E-001         3.8501              1.6261              3320.9             0.39945E+017        0.45920E-027        0.13985E-027
        0.23936E-001         3.8335              1.7024              3366.5             0.72438E+017        0.83273E-027        0.24224E-027
        0.24636E-001         3.8182              1.7805              3411.3             0.12887E+018        0.14815E-026        0.41206E-027
        0.25375E-001         3.8035              1.8634              3457.0             0.23041E+018        0.26488E-026        0.70396E-027
        0.26155E-001         3.7870              1.9521              3505.0             0.42080E+018        0.48374E-026        0.12272E-026
        0.26939E-001         3.7735              2.0426              3551.3             0.74647E+018        0.85813E-026        0.20805E-026
        0.27726E-001         3.7624              2.1347              3596.0             0.12903E+019        0.14833E-025        0.34411E-026
        0.28557E-001         3.7497              2.2333              3642.9             0.22760E+019        0.26165E-025        0.58019E-026
        0.29433E-001         3.7379              2.3377              3690.6             0.40191E+019        0.46203E-025        0.97880E-026
        0.30021E-001         3.5048              2.6855              3945.8             0.68162E+020        0.78357E-024        0.14450E-024
        0.30622E-001         3.3904              2.8265              4063.5             0.23411E+021        0.26912E-023        0.47153E-024
        0.31239E-001         3.2944              2.9689              4173.2             0.71870E+021        0.82620E-023        0.13782E-023
        0.31864E-001         3.2123              3.1126              4276.5             0.20156E+022        0.23171E-022        0.36867E-023
        0.32501E-001         3.1395              3.2595              4375.9             0.53253E+022        0.61218E-022        0.93010E-023
        0.33156E-001         3.0734              3.4110              4473.3             0.13511E+023        0.15532E-021        0.22550E-022
        0.33819E-001         3.0127              3.5665              4568.7             0.33050E+023        0.37994E-021        0.52757E-022
        0.34496E-001         2.9559              3.7279              4663.7             0.79107E+023        0.90939E-021        0.12081E-021
        0.35191E-001         2.9022              3.8955              4758.7             0.18613E+024        0.21396E-020        0.27201E-021
        0.35895E-001         2.8514              4.0692              4853.6             0.43039E+024        0.49476E-020        0.60213E-021
        0.36613E-001         2.8028              4.2498              4948.9             0.98319E+024        0.11302E-019        0.13171E-020
        0.37348E-001         2.7559              4.4382              5045.2             0.22308E+025        0.25645E-019        0.28615E-020
