col0 method number_of_models_used mcore Dmcore sigma Dsigma mstar Dmstar theta_view Dtheta_view dist av Dav rcore Drcore massenv Dmassenv theta_w_esc Dtheta_w_esc rstar Drstar lstar Dlstar tstar Dtstar mdisk Dmdisk rdisk Drdisk mdotd Dmdotd lbol Dlbol lbol_iso Dlbol_iso lbol_av Dlbol_av t_now Dt_now Source_Name
"" "average model method 2" 293 385.00688 1.30442 1.54632 1.76325 35.35475 1.56072 56.74852 21.22695 5510.0 16.86362 49.96906 0.11611 1.46913 297.10919 1.35652 2.25751e+01 8.93088 13.84559 1.70043 3.17151e+05 1.84243 3.68309e+04 1.32226 11.78492 1.56072 9.11336e+01 1.70993 1.24417e-03 1.37667 4.11488e+05 1.75246 2.61592e+05 2.23334 2.00867e+05 1.24129 5.37162e+04 1.74060 G024.4736+00.4950
"" "average model method 2" 37 332.18805 1.44502 1.24280 2.44313 55.38660 1.71258 42.45139 10.72958 5510.0 22.77505 25.78955 0.12031 1.84711 188.61617 1.32672 3.58327e+01 11.06598 14.30431 1.31814 6.29983e+05 1.95402 4.30180e+04 1.20394 18.46220 1.71258 1.57143e+02 2.13078 1.13438e-03 1.67039 7.64736e+05 1.86587 3.42345e+05 1.64738 2.47025e+05 1.10161 8.49833e+04 2.24388 G024.4921-00.0386
"" "average model method 2" 41 320.39063 1.47116 1.28687 2.57604 55.39041 1.69207 39.78505 11.86903 5500.0 23.75939 27.91203 0.11611 1.91633 177.68424 1.38420 3.64356e+01 11.01792 14.09539 1.30870 6.29470e+05 1.92545 4.33268e+04 1.19559 18.46347 1.69207 1.55903e+02 2.16224 1.14598e-03 1.72969 7.70960e+05 1.83105 4.33251e+05 2.18865 2.68312e+05 1.11676 8.36315e+04 2.31092 G024.5065-00.2224
"" "average model method 2" 2335 276.31225 1.62474 0.85455 3.00854 28.41721 1.97599 56.68857 21.60953 5800.0 0.00000 0.00000 0.13232 2.03082 182.50874 1.87731 2.82076e+01 14.64292 13.05095 1.87236 1.53487e+05 4.59237 3.16409e+04 1.63566 9.47240 1.97599 1.16577e+02 2.34053 6.13535e-04 2.12356 2.10102e+05 3.10189 1.29028e+05 3.56681 1.29028e+05 3.56681 8.26184e+04 2.54354 G025.3809-00.1815
"" "average model method 2" 2442 272.55897 1.62856 0.84795 3.04746 27.80861 1.98580 56.81026 21.58070 5770.0 0.00000 0.00000 0.13193 2.03871 180.13541 1.89439 2.81243e+01 14.67111 12.90509 1.87529 1.46082e+05 4.62992 3.14282e+04 1.63918 9.26954 1.98580 1.15485e+02 2.35748 6.01592e-04 2.14836 2.00421e+05 3.17068 1.22821e+05 3.62089 1.22821e+05 3.62089 8.24589e+04 2.57209 G025.3824-00.1812
"" "average model method 2" 233 167.59491 1.70671 0.33545 3.71356 31.44514 1.73743 46.13686 21.56788 2700.0 61.22549 41.26444 0.16448 2.43477 65.01691 2.15384 4.72827e+01 14.60258 9.21622 1.63914 1.52682e+05 2.83754 3.76029e+04 1.39746 10.48171 1.73743 2.52360e+02 2.22006 2.20183e-04 2.31547 1.78999e+05 2.71829 1.54867e+05 3.84458 3.42581e+04 1.15550 2.07963e+05 2.59008 G025.3948+00.0332
"" "average model method 2" 310 310.21704 1.47450 1.03344 2.69270 45.99686 1.63038 58.60612 16.42383 14000.0 37.35229 32.12691 0.12749 1.94087 190.15015 1.48841 3.33831e+01 10.02127 12.64921 1.42611 4.32263e+05 2.00593 4.16349e+04 1.23600 15.33229 1.63038 1.49163e+02 2.01150 9.09803e-04 1.86341 5.31886e+05 1.94336 1.60760e+05 1.36319 1.24276e+05 1.22858 8.96094e+04 2.23644 G025.3983+00.5617
"" "average model method 2" 3621 231.17598 1.78615 0.76898 3.29349 22.75928 2.13809 56.91529 21.56419 5600.0 0.00000 0.00000 0.12759 2.17063 149.44785 2.17397 2.82839e+01 15.79272 12.68918 2.03017 8.40950e+04 7.46838 2.76075e+04 1.82747 7.58643 2.13809 1.09209e+02 2.49323 4.80269e-04 2.31808 1.28590e+05 3.89911 7.98567e+04 4.21385 7.98567e+04 4.21385 8.36814e+04 2.72933 G025.3991-00.1366
"" "average model method 2" 155 276.01847 1.76653 0.16691 2.67195 22.14711 1.43648 61.01544 17.16048 5600.0 70.20088 39.27894 0.29924 2.14934 203.67178 2.05347 2.76743e+01 9.96259 7.21177 1.63350 6.71894e+04 2.11335 3.46223e+04 1.27237 7.38237 1.43648 2.17348e+02 1.77514 1.63420e-04 1.70420 8.35837e+04 1.93393 4.12667e+04 1.44210 2.60518e+04 1.13210 2.46263e+05 2.02170 G025.8011-00.1568
"" "average model method 2" 92 360.50624 1.55474 0.25239 3.71885 58.74530 1.59664 65.44400 16.18866 5600.0 9.97026 13.23207 0.27811 2.34443 167.79444 1.83697 4.47902e+01 11.75782 12.21395 1.40463 5.34527e+05 2.07544 4.46803e+04 1.18836 19.58177 1.59664 3.82931e+02 2.14747 3.16134e-04 2.30756 5.90790e+05 2.02007 1.39035e+05 1.24624 1.23683e+05 1.09600 2.89296e+05 2.61461 G026.0916-00.0565
"" "average model method 2" 121 310.48547 1.63201 0.42860 3.86509 47.58767 1.65031 62.59076 17.26709 13800.0 39.62601 26.96254 0.19806 2.45869 164.00881 1.89152 3.92556e+01 11.89172 11.43525 1.47849 3.82906e+05 2.23599 4.24817e+04 1.23118 15.86256 1.65031 2.45768e+02 2.16828 4.39937e-04 2.36389 4.45247e+05 2.18213 1.17912e+05 1.32585 8.42857e+04 1.09794 1.78283e+05 2.65561 G026.1094-00.0937
"" "average model method 2" 178 308.00368 1.52620 0.56204 3.38410 44.29188 1.54372 58.46703 17.10692 13100.0 49.43473 35.28411 0.17226 2.23748 187.42486 1.59610 3.53760e+01 8.43781 11.01375 1.41993 3.48258e+05 1.97447 4.22727e+04 1.25222 14.76396 1.54372 1.97927e+02 2.09789 5.55233e-04 2.16275 4.21812e+05 1.92240 1.31072e+05 1.34482 9.09166e+04 1.12162 1.39192e+05 2.52884 G026.5976-00.0236
"" "average model method 2" 113 318.45619 1.64906 0.32593 3.77093 46.52932 1.63575 64.39129 16.38190 13300.0 24.80273 19.70866 0.23002 2.44183 170.77307 1.93627 3.93304e+01 11.46070 10.99532 1.45752 3.54667e+05 2.23548 4.25014e+04 1.21110 15.50977 1.63575 2.76246e+02 2.08509 3.57182e-04 2.29593 4.05474e+05 2.17864 1.10845e+05 1.24053 8.86092e+04 1.08405 2.15060e+05 2.56419 G026.6089-00.2121
"" "average model method 2" 85 175.91960 1.62764 0.24775 3.69257 30.86915 1.52827 65.67429 15.46677 13400.0 17.87611 15.78561 0.19609 2.38737 75.46347 2.18361 4.58596e+01 12.08190 8.47642 1.48781 1.40992e+05 2.28983 3.84365e+04 1.27337 10.28972 1.52827 2.79738e+02 1.94463 1.83971e-04 2.29774 1.62745e+05 2.25556 3.68407e+04 1.24841 3.02059e+04 1.07008 2.53369e+05 2.42959 G026.8304-00.2067
"" "average model method 2" 245 293.14716 1.58356 0.76094 3.10459 34.33128 1.59156 59.78266 18.08560 7600.0 65.31652 46.68724 0.14443 2.18502 198.70565 1.75008 2.92331e+01 9.50943 10.71364 1.65072 2.26878e+05 2.23601 3.85062e+04 1.33452 11.44376 1.59156 1.38764e+02 1.94999 6.39853e-04 2.04990 2.90245e+05 2.17649 1.09496e+05 1.41300 7.41878e+04 1.11396 9.76122e+04 2.28430 G027.1859-00.0816
"" "average model method 2" 24 410.37493 1.26243 1.21138 1.54963 56.36996 1.54702 22.97157 9.46105 11900.0 26.09677 17.29763 0.13544 1.38910 266.48681 1.24792 3.19485e+01 8.47194 13.09016 1.34603 5.95251e+05 1.80009 4.43358e+04 1.19621 18.78999 1.54702 1.49372e+02 1.62607 1.24378e-03 1.20839 7.48842e+05 1.71438 2.96654e+06 1.68392 9.93594e+05 1.32590 8.19088e+04 1.60081 G027.2800+00.1447
"" "average model method 2" 118 346.27224 1.56598 0.35885 3.77091 58.19680 1.57745 63.52511 16.68007 12800.0 19.19643 16.28461 0.22859 2.36997 168.62721 1.74741 4.31897e+01 10.72564 12.12974 1.36462 5.40768e+05 2.03165 4.49654e+04 1.17258 19.39893 1.57745 3.15754e+02 2.18279 4.18784e-04 2.37768 6.15539e+05 1.97255 1.44141e+05 1.27951 1.19439e+05 1.15453 2.22220e+05 2.67083 G027.5637+00.0845
"" "average model method 2" 155 268.46772 1.73753 0.20550 3.54665 30.72278 1.46680 64.47554 16.28153 8000.0 31.81679 21.86423 0.26597 2.44294 163.44772 2.23340 3.49140e+01 11.48584 8.44981 1.49293 1.42721e+05 2.08123 3.86144e+04 1.24736 10.24093 1.46680 2.59092e+02 1.92498 2.07174e-04 2.15275 1.66962e+05 2.04120 5.98125e+04 1.28387 4.57578e+04 1.11477 2.54183e+05 2.38762 G027.9352+00.2056
"" "average model method 2" 156 364.03566 1.39230 1.33292 2.37189 41.60256 1.58706 53.64366 17.24456 12100.0 28.89164 31.43699 0.12161 1.75961 260.86605 1.38325 2.68055e+01 8.97954 14.64097 1.52967 4.18861e+05 1.67956 3.83959e+04 1.31343 13.86752 1.58706 1.13832e+02 1.98221 1.15857e-03 1.63711 5.13064e+05 1.66643 2.21751e+05 1.29019 1.82728e+05 1.20423 6.66567e+04 2.17201 G028.2003-00.0494
"" "average model method 2" 60 394.59393 1.18200 3.16000 1.00000 24.00000 1.00000 57.34504 21.41925 5800.0 244.69407 37.80151 0.08223 1.08720 353.31030 1.21169 1.31896e+01 1.54160 31.67314 1.09005 2.68139e+05 1.01409 2.33505e+04 1.04751 8.00000 1.00000 4.67189e+01 1.06717 1.86095e-03 1.04034 3.01113e+05 1.02035 2.63598e+05 1.48674 1.08398e+05 1.01988 2.53635e+04 1.05398 G028.2879-00.3641
"" "average model method 2" 181 193.17131 1.64288 0.25629 3.64223 31.52336 1.58773 58.89361 19.41988 11600.0 39.91218 32.44068 0.20203 2.37545 86.76593 2.22521 4.41011e+01 13.57939 8.71048 1.53988 1.47883e+05 2.44998 3.83716e+04 1.29579 10.50779 1.58773 2.71268e+02 1.98195 1.99055e-04 2.27276 1.71764e+05 2.37744 5.81406e+04 2.31478 3.20495e+04 1.11606 2.42954e+05 2.42935 G028.5816+00.1447
"" "average model method 2" 9 338.73049 1.46042 1.46721 2.25673 48.27876 1.55025 34.30433 7.27473 16500.0 2.09659 3.90963 0.11181 1.78972 223.66623 1.42959 3.03727e+01 7.39125 13.03259 1.30366 5.11903e+05 1.61494 4.27891e+04 1.21125 16.09292 1.55025 1.24606e+02 1.86935 1.28789e-03 1.54499 6.49773e+05 1.58591 4.54630e+05 1.17643 4.37750e+05 1.11192 6.85903e+04 2.02569 G028.6082+00.0185
"" "average model method 2" 49 339.42920 1.42708 1.29434 2.42912 49.52150 1.66129 44.87461 11.64683 16500.0 22.29473 22.19931 0.11917 1.83086 213.13458 1.37644 3.20342e+01 9.99710 13.89983 1.38074 5.34530e+05 1.88456 4.18832e+04 1.22116 16.50717 1.66129 1.37790e+02 2.01391 1.16057e-03 1.66210 6.57852e+05 1.81485 2.54950e+05 1.27054 2.09683e+05 1.11789 7.67654e+04 2.17107 G028.6523+00.0273
"" "average model method 2" 99 194.48847 1.68864 0.27179 4.06148 30.31365 1.53348 66.96825 15.84861 9800.0 21.68273 17.54827 0.19685 2.53928 89.77327 2.51956 4.20987e+01 13.28552 8.34181 1.51089 1.35496e+05 2.37037 3.83622e+04 1.26600 10.10455 1.53348 2.50508e+02 1.87857 2.10759e-04 2.45626 1.59874e+05 2.35481 3.91996e+04 1.25572 3.18243e+04 1.10788 2.26028e+05 2.47442 G029.7704+00.2189
"" "average model method 2" 282 157.26335 2.05404 0.26631 3.49269 16.44270 1.47060 65.95753 15.86791 7400.0 49.42314 32.56144 0.17882 2.60107 96.88195 2.93470 3.05017e+01 13.12612 6.62279 1.72676 3.81392e+04 2.44321 3.13599e+04 1.30174 5.48090 1.47060 1.59824e+02 1.68846 1.67124e-04 2.12512 5.10799e+04 2.30190 1.96888e+04 1.33334 1.42273e+04 1.11452 1.73646e+05 2.13464 G030.0096-00.2734
"" "average model method 2" 84 305.52740 1.64785 0.16377 3.02093 37.29868 1.55915 60.09856 17.69910 7400.0 24.27555 21.28061 0.31784 2.20784 178.82178 1.92189 3.79654e+01 11.54401 8.96934 1.39410 2.07302e+05 2.28638 4.11454e+04 1.16655 12.43290 1.55915 3.32418e+02 1.97823 1.91975e-04 1.91683 2.35404e+05 2.19093 8.65943e+04 1.38777 6.60635e+04 1.06807 3.24196e+05 2.25346 G030.2527+00.0540
"" "average model method 2" 4 403.63028 1.41421 1.33328 1.77764 55.42563 1.58983 34.96685 7.59644 10200.0 3.74704 6.49006 0.12804 1.58555 265.46299 1.39298 3.09213e+01 7.68592 12.83411 1.25537 6.08734e+05 1.79691 4.50273e+04 1.12247 18.47521 1.58983 1.41207e+02 1.70475 1.33814e-03 1.26030 7.72134e+05 1.68560 4.92117e+05 1.20637 4.63246e+05 1.06926 7.59033e+04 1.73304 G030.5313+00.0205
"" "average model method 2" 6 435.20695 1.18219 1.21138 1.59954 56.52441 1.68583 37.29280 10.05900 11400.0 13.09616 14.02214 0.13948 1.36659 285.21720 1.18736 3.12833e+01 9.81456 14.27694 1.50271 6.07586e+05 1.97663 4.26713e+04 1.30531 18.84147 1.68583 1.47653e+02 1.79939 1.26513e-03 1.21236 7.52281e+05 1.91302 3.65381e+05 1.18379 3.19023e+05 1.06173 8.07376e+04 1.74982 G030.5353+00.0204
"" "average model method 2" 465 265.58650 1.69401 0.37409 3.36695 41.12924 1.83619 57.36699 20.32548 4900.0 114.46984 69.62486 0.19607 2.30633 130.04427 1.95844 4.11581e+01 13.91606 10.17875 1.56293 2.62870e+05 3.03304 4.09864e+04 1.26358 13.70975 1.83619 2.51294e+02 2.10367 3.42031e-04 2.17241 3.12121e+05 2.85998 1.34467e+05 3.96927 3.76387e+04 1.12085 1.92314e+05 2.37971 G030.7197-00.0829
"" "average model method 2" 192 185.92285 1.92174 0.24873 3.84694 20.93727 1.66663 62.09619 17.53988 4900.0 29.30952 25.94957 0.20119 2.63525 100.67321 2.98369 3.46029e+01 16.12008 7.02585 1.64325 6.03293e+04 3.14326 3.41455e+04 1.28583 6.97909 1.66663 1.95892e+02 1.78466 1.75354e-04 2.34115 7.73184e+04 2.92930 2.54083e+04 1.31909 1.99054e+04 1.10476 1.99947e+05 2.25353 G030.7579+00.2042
"" "average model method 2" 284 311.68927 1.47966 0.95199 2.74367 44.53006 1.61768 62.59168 17.70076 7220.0 59.88760 41.22599 0.13315 1.98877 192.63551 1.54722 3.30176e+01 9.99497 11.83524 1.45753 3.85716e+05 2.10765 4.18341e+04 1.24566 14.84335 1.61768 1.51405e+02 1.96426 8.45586e-04 1.87764 4.82948e+05 2.03756 1.40881e+05 1.38335 9.77094e+04 1.12807 9.35523e+04 2.18793 G030.8662+00.1143
"" "average model method 2" 10 315.53951 1.40213 1.77764 1.83383 45.01960 1.70095 37.64728 7.56229 11900.0 17.12266 17.86778 0.09804 1.59778 209.33414 1.22718 2.95897e+01 8.87065 14.87456 1.30687 5.12937e+05 1.80999 4.00724e+04 1.24724 15.00653 1.70095 1.11198e+02 1.88475 1.42181e-03 1.26124 6.31350e+05 1.78304 3.24848e+05 1.24769 2.71976e+05 1.05130 5.86777e+04 1.88487 G030.9581+00.0869
"" "average model method 2" 80 200.75927 1.87861 0.29419 4.24650 25.76415 1.52662 63.27810 17.03374 11800.0 19.71564 16.67881 0.19223 2.74932 105.36015 2.90818 3.65953e+01 14.10035 7.97607 1.62701 9.78344e+04 2.45599 3.61643e+04 1.29658 8.58805 1.52662 2.05432e+02 1.80625 2.22811e-04 2.46336 1.20122e+05 2.40725 3.61080e+04 1.19585 3.04291e+04 1.09827 1.92191e+05 2.44102 G031.0495+00.4697
"" "average model method 2" 45 385.29944 1.33988 1.19588 1.82003 72.52053 1.51589 25.58243 10.86070 12200.0 12.94646 11.39750 0.13209 1.53984 193.91337 1.42805 4.03359e+01 9.74057 14.20490 1.30581 8.78715e+05 1.84943 4.69132e+04 1.06244 24.17351 1.51589 1.93887e+02 1.67490 1.24713e-03 1.41039 1.07302e+06 1.71289 3.81756e+06 1.43773 1.44080e+06 1.37238 9.74926e+04 1.68974 G031.0595+00.0922
"" "average model method 2" 180 328.87168 1.57652 0.32641 3.50883 51.06568 1.70063 65.76548 16.06950 13400.0 38.83187 23.43486 0.23358 2.27954 158.93444 1.93712 4.20567e+01 12.93334 11.29266 1.48463 4.05044e+05 2.49344 4.33540e+04 1.18821 17.02190 1.70063 3.02601e+02 1.97567 3.60442e-04 2.25349 4.60826e+05 2.41301 1.06025e+05 1.27117 7.56448e+04 1.10013 2.25621e+05 2.36764 G031.1590+00.0465
"" "average model method 2" 70 53.72209 1.46383 0.26820 3.73887 12.11905 1.43223 73.14617 10.80661 2700.0 42.98928 40.24273 0.10415 2.27636 15.88176 3.59632 4.67831e+01 10.95409 6.21617 1.71697 1.95200e+04 2.46061 2.73785e+04 1.29744 4.03968 1.43223 1.79073e+02 1.60399 9.05377e-05 2.43854 2.45699e+04 2.40945 5.03798e+03 1.62055 3.40725e+03 1.08311 2.02389e+05 2.24686 G031.1596+00.0448
"" "average model method 2" 266 230.19626 1.66495 0.15149 2.20689 18.29245 1.60726 62.71836 18.09897 2700.0 85.69906 37.28185 0.28686 1.85189 159.72575 2.06798 2.90123e+01 14.41094 6.27761 1.63229 4.15000e+04 2.73464 3.28978e+04 1.30722 6.09748 1.60726 2.11417e+02 1.68098 1.27505e-04 1.58462 5.38797e+04 2.46595 2.45923e+04 1.39212 1.43673e+04 1.11955 2.53467e+05 1.74889 G031.2420-00.1106
"" "average model method 2" 16 404.03353 1.19589 2.20564 1.73463 30.89587 1.48493 37.51176 10.08354 12700.0 14.25826 15.99556 0.09960 1.40759 337.32239 1.17291 1.81349e+01 6.93947 22.03160 1.68592 3.23503e+05 1.37161 2.93426e+04 1.39090 10.29862 1.48493 6.76000e+01 1.72309 1.58092e-03 1.26290 3.84047e+05 1.46732 2.63213e+05 1.08625 2.43521e+05 1.06731 3.77476e+04 1.79835 G031.2435-00.1103
"" "average model method 2" 24 421.46377 1.17773 2.05260 1.76650 33.04657 1.53910 37.16127 8.83438 13000.0 13.18250 21.91633 0.10545 1.40764 346.47342 1.16361 1.91433e+01 7.89990 21.10920 1.70977 3.45065e+05 1.44418 3.04643e+04 1.41822 11.01552 1.53910 7.28174e+01 1.80376 1.55271e-03 1.26913 4.11769e+05 1.54182 2.79208e+05 1.15484 2.55256e+05 1.05546 4.07769e+04 1.86902 G031.2448-00.1132
"" "average model method 2" 193 418.67265 1.22599 1.55450 1.75222 35.76474 1.56860 56.76016 19.94003 7100.0 12.78269 37.19824 0.12076 1.42011 329.05970 1.28499 2.17764e+01 9.14941 14.80939 1.76959 3.26377e+05 1.80298 3.58685e+04 1.36221 11.92158 1.56860 8.99440e+01 1.74709 1.28815e-03 1.36131 4.19065e+05 1.73545 2.46267e+05 1.72453 2.14897e+05 1.20927 5.26308e+04 1.78075 G031.3959-00.2570
"" "average model method 2" 372 353.26536 1.39824 1.24903 2.45625 42.53310 1.64961 61.11209 17.64775 9100.0 25.44456 30.67603 0.12376 1.77337 239.16670 1.46047 2.88136e+01 11.37468 14.58924 1.57162 4.18526e+05 1.87098 3.84562e+04 1.32359 14.17770 1.64961 1.22161e+02 2.09919 1.07970e-03 1.71962 5.11540e+05 1.82921 1.87883e+05 1.31502 1.58619e+05 1.28649 7.16926e+04 2.26418 G031.4130+00.3065
"" "average model method 2" 909 218.84155 1.76657 0.37364 3.63793 27.44080 1.84699 63.30993 17.15240 5600.0 47.87308 48.87138 0.17809 2.43193 121.87153 2.29046 3.51478e+01 14.89347 8.62293 1.69543 1.18634e+05 3.37950 3.64987e+04 1.32070 9.14693 1.84699 1.87140e+02 1.99990 2.84691e-04 2.38727 1.49221e+05 3.15922 4.53981e+04 1.74325 3.15384e+04 1.30974 1.62185e+05 2.36693 G031.5815+00.0744
"" "average model method 2" 384 268.18693 1.67108 0.31519 3.78938 39.42675 1.75140 63.45239 16.26253 4900.0 39.19248 33.22910 0.21465 2.40514 136.00209 2.03136 4.02344e+01 13.24602 9.86023 1.56779 2.39636e+05 2.85464 4.06908e+04 1.24851 13.14225 1.75140 2.62282e+02 2.02528 3.00223e-04 2.45726 2.80594e+05 2.76578 7.33258e+04 1.51956 5.17574e+04 1.18188 2.12752e+05 2.47484 G032.1502+00.1329
"" "average model method 2" 90 279.93040 1.44592 0.14124 2.63178 30.45813 1.40829 66.84709 14.65814 7200.0 22.21366 17.54474 0.32760 1.90751 172.12449 1.96645 3.57681e+01 11.34168 7.82917 1.40629 1.27388e+05 2.02570 3.89921e+04 1.20651 10.15271 1.40829 3.08611e+02 1.60602 1.55640e-04 1.83744 1.46247e+05 1.98426 5.32839e+04 1.25448 4.36772e+04 1.11164 3.31808e+05 1.90007 G032.2730-00.2258
"" "average model method 2" 143 347.15798 1.54127 0.38971 3.72420 59.72710 1.61393 63.05987 16.44100 12800.0 15.48023 16.74803 0.21963 2.32746 164.44515 1.71158 4.36845e+01 11.43656 12.57967 1.37400 5.74912e+05 2.07575 4.48350e+04 1.17476 19.90903 1.61393 3.10976e+02 2.21476 4.46643e-04 2.38359 6.52336e+05 2.01335 1.47473e+05 1.29918 1.26004e+05 1.16134 2.12061e+05 2.67572 G032.4727+00.2036
"" "average model method 2" 10 85.19029 2.02916 0.50104 5.65750 21.87146 1.36917 61.43347 10.81352 11100.0 7.83765 13.56994 0.09595 3.37074 27.04400 3.04378 4.89639e+01 6.28453 9.98623 1.86709 8.82260e+04 1.44533 3.14956e+04 1.42864 7.29049 1.36917 1.82933e+02 2.49324 2.15616e-04 2.84771 1.03000e+05 1.48600 2.35429e+04 1.27506 2.09517e+04 1.06474 1.52401e+05 3.47280 G032.7398+00.1940
"" "average model method 2" 231 241.18495 1.73040 0.23561 3.60890 30.89696 1.56005 60.81484 17.67137 12900.0 45.75956 31.26393 0.23544 2.44796 135.32432 2.24074 3.74684e+01 12.71861 8.59387 1.54891 1.43630e+05 2.37726 3.83503e+04 1.27635 10.29899 1.56005 2.53151e+02 1.99448 2.16097e-04 2.20258 1.69470e+05 2.29950 5.74206e+04 1.54071 3.77870e+04 1.15218 2.37983e+05 2.43972 G032.7492-00.0643
"" "average model method 2" 89 326.93346 1.55108 0.51674 3.65961 52.46950 1.52853 59.34123 16.99205 13300.0 23.54193 20.17581 0.18510 2.34523 184.57594 1.56823 3.86760e+01 7.96030 11.93930 1.32836 4.79302e+05 1.81724 4.39759e+04 1.21265 17.48983 1.52853 2.35493e+02 2.19185 5.55884e-04 2.27179 5.62222e+05 1.78047 1.60396e+05 1.24915 1.29448e+05 1.11647 1.60344e+05 2.68838 G032.9273+00.6060
"" "average model method 2" 354 380.18067 1.35238 1.29668 2.20163 40.43779 1.64784 59.55928 18.60691 18600.0 9.96834 36.45471 0.12600 1.65859 270.07902 1.43992 2.64645e+01 11.40862 14.07719 1.62320 3.83134e+05 1.92955 3.82941e+04 1.31540 13.47926 1.64784 1.12353e+02 2.01503 1.12196e-03 1.58459 4.81497e+05 1.83099 2.14893e+05 1.56423 1.92619e+05 1.18695 6.63520e+04 2.11532 G033.1328-00.0923
"" "average model method 2" 4 385.64564 1.38772 1.33328 1.77764 55.42563 1.58983 36.16271 7.78897 9400.0 2.78208 3.54195 0.12515 1.56487 247.78722 1.35406 3.20019e+01 8.02095 12.81948 1.25616 6.06728e+05 1.79591 4.50158e+04 1.12225 18.47521 1.58983 1.43480e+02 1.71909 1.30903e-03 1.28144 7.66586e+05 1.68329 4.40122e+05 1.03729 4.21220e+05 1.05051 7.69663e+04 1.74808 G033.4163-00.0036
"" "average model method 2" 85 309.47596 1.46185 1.15990 2.98033 40.50694 1.41643 53.86975 16.34586 9400.0 47.21849 33.14342 0.12020 2.08173 214.50252 1.45380 2.86203e+01 6.18826 12.35760 1.34691 3.82635e+05 1.39498 4.08583e+04 1.20967 13.50232 1.41643 1.23837e+02 2.00430 9.82007e-04 1.89090 4.77914e+05 1.39550 1.99598e+05 1.32915 1.43790e+05 1.06776 7.61511e+04 2.38212 G033.8100-00.1864
"" "average model method 2" 333 302.20713 1.64082 0.34348 3.98122 43.10963 1.71186 61.03913 16.95320 11400.0 31.54574 28.77342 0.21827 2.47362 160.50622 1.96426 3.88487e+01 12.82602 10.53822 1.52778 2.99023e+05 2.62177 4.16001e+04 1.23436 14.36988 1.71186 2.58537e+02 2.12835 3.52307e-04 2.50542 3.49191e+05 2.55070 9.88548e+04 1.46241 7.39698e+04 1.18973 2.01774e+05 2.63019 G034.1978-00.5912
"" "average model method 2" 908 334.77493 1.40605 1.21517 2.29811 34.11096 1.75533 57.10975 21.33046 3580.0 21.66544 55.38359 0.12214 1.71874 238.36583 1.53334 2.59750e+01 11.75139 13.56018 1.73760 2.65874e+05 2.36407 3.56113e+04 1.42904 11.37032 1.75533 1.05150e+02 2.01020 9.52125e-04 1.70499 3.38256e+05 2.31172 2.00939e+05 2.81616 1.38279e+05 1.46547 6.59202e+04 2.10015 G034.2571+00.1466
"" "average model method 2" 1667 304.92470 1.52056 0.96370 2.79631 32.01827 1.93426 56.37220 21.61920 3580.0 25.67336 56.73630 0.13090 1.93932 201.33697 1.75169 2.82634e+01 14.61283 13.73384 1.83250 2.18592e+05 2.94707 3.36949e+04 1.52769 10.67276 1.93426 1.17224e+02 2.31410 7.30373e-04 1.97465 2.72493e+05 2.86725 1.67293e+05 3.39569 1.01948e+05 1.65873 7.82459e+04 2.45493 G034.2572+00.1535
"" "average model method 2" 134 406.85858 1.26798 1.90404 1.77414 28.10815 1.29797 56.83872 20.37193 2100.0 77.60782 57.59865 0.10757 1.45077 348.90010 1.30111 1.67690e+01 4.67974 16.96801 1.89052 2.49622e+05 1.38398 3.13370e+04 1.34841 9.36938 1.29797 6.72584e+01 1.50318 1.36558e-03 1.40174 3.17698e+05 1.33174 2.38244e+05 1.61030 1.62879e+05 1.12936 3.99595e+04 1.63480 G034.2573+00.1523
"" "average model method 2" 131 411.80638 1.25363 1.88208 1.77650 28.14816 1.30059 56.78003 20.48548 2100.0 85.57955 57.33218 0.10885 1.44467 353.88095 1.28218 1.66966e+01 4.69332 16.90765 1.90184 2.48561e+05 1.38573 3.13594e+04 1.35170 9.38272 1.30059 6.74919e+01 1.50841 1.35886e-03 1.40472 3.16800e+05 1.33242 2.39199e+05 1.61611 1.58571e+05 1.12508 4.02003e+04 1.64110 G034.2581+00.1533
"" "average model method 2" 412 80.24704 1.95048 0.20048 2.68455 10.38224 1.49204 67.13547 16.20072 2100.0 59.92141 36.44211 0.14722 2.14053 41.27340 3.32660 3.51341e+01 15.45298 7.62238 1.71625 1.33434e+04 2.74658 2.24814e+04 1.45020 3.46075 1.49204 1.58233e+02 1.57155 8.50226e-05 1.80267 1.73396e+04 2.20111 5.79930e+03 1.57074 3.92129e+03 1.36837 2.04590e+05 1.83863 G034.4032+00.2277
"" "average model method 2" 9 41.81255 1.70998 0.24475 3.06047 11.17502 1.93681 79.24540 14.48213 2100.0 23.89124 10.35020 0.09618 2.22842 10.07552 1.47634 6.04207e+01 9.65340 4.55610 1.11619 7.00339e+03 14.00383 2.47504e+04 1.85128 3.72501 1.93680 2.10931e+02 2.51555 5.66013e-05 1.78072 1.63990e+04 2.24461 1.35103e+03 1.08564 1.10349e+03 1.02088 2.30445e+05 2.70994 G034.5920+00.2434
