col0 method number_of_models_used mcore Dmcore sigma Dsigma mstar Dmstar theta_view Dtheta_view dist av Dav rcore Drcore massenv Dmassenv theta_w_esc Dtheta_w_esc rstar Drstar lstar Dlstar tstar Dtstar mdisk Dmdisk rdisk Drdisk mdotd Dmdotd lbol Dlbol lbol_iso Dlbol_iso lbol_av Dlbol_av t_now Dt_now Source_Name
"" "average model method 2" 168 228.35843 1.58692 0.10931 1.45900 9.75447 1.40041 62.76222 17.58877 4100.0 52.38490 28.25942 0.33634 1.44268 193.53593 1.88119 1.83957e+01 11.30288 8.10591 1.49503 1.09210e+04 2.16423 2.07356e+04 1.39102 3.25149 1.40041 1.51664e+02 1.39230 7.93178e-05 1.25795 1.41512e+04 1.87391 9.65401e+03 1.26488 7.15377e+03 1.11071 2.31441e+05 1.36147 G011.9032-00.1407
"" "average model method 2" 158 237.72867 1.55365 0.10600 1.40307 9.69860 1.39224 61.88490 17.80883 4100.0 52.93347 29.77356 0.34849 1.39297 204.39713 1.79740 1.77768e+01 10.72678 8.16131 1.51143 1.06900e+04 2.15805 2.05550e+04 1.39265 3.23287 1.39224 1.51781e+02 1.41806 7.84725e-05 1.22351 1.38868e+04 1.83949 9.79013e+03 1.27534 7.22245e+03 1.10646 2.33518e+05 1.38350 G011.9039-00.1411
"" "average model method 2" 151 430.73703 1.18765 1.62850 1.76909 36.26412 1.58268 52.07596 22.62381 12600.0 7.68573 20.04030 0.11968 1.40966 339.98163 1.24188 2.15169e+01 9.36672 16.19872 1.79226 3.43633e+05 1.75473 3.47404e+04 1.39333 12.08804 1.58268 8.80021e+01 1.80049 1.35278e-03 1.34073 4.33572e+05 1.71774 3.52448e+05 2.55805 2.77101e+05 1.47439 5.07711e+04 1.83802 G011.9446-00.0369
"" "average model method 2" 340 317.50960 1.52209 0.66799 3.23919 45.30092 1.57924 61.41534 16.50815 11900.0 41.78998 33.10885 0.16043 2.16720 191.56173 1.65547 3.47124e+01 9.80223 11.26249 1.42847 3.70586e+05 2.09701 4.24577e+04 1.22380 15.10031 1.57924 1.83084e+02 1.99980 6.44842e-04 2.16723 4.52675e+05 2.04826 1.33316e+05 1.36922 9.90959e+04 1.22000 1.22675e+05 2.38280 G012.1988-00.0345
"" "average model method 2" 161 385.89366 1.28995 1.83573 1.77923 36.90117 1.60388 61.57540 18.06161 13600.0 18.93965 27.52322 0.10669 1.45851 294.61143 1.32346 2.28926e+01 9.59056 17.59727 1.66193 3.81381e+05 1.67022 3.42112e+04 1.38558 12.30039 1.60388 8.68616e+01 1.84317 1.44285e-03 1.29672 4.66834e+05 1.69100 2.21027e+05 1.20928 1.98639e+05 1.15858 4.83639e+04 1.87361 G012.2081-00.1019
"" "average model method 2" 34 396.55619 1.31119 1.03416 2.05806 83.32725 1.44220 26.93267 11.12759 13900.0 10.32704 9.52652 0.14410 1.61518 177.37428 1.34508 4.46055e+01 8.43180 15.31250 1.29424 1.08164e+06 1.73883 4.75937e+04 1.04431 27.77575 1.44220 2.37622e+02 1.70036 1.14594e-03 1.58805 1.28146e+06 1.60719 4.07989e+06 1.39610 1.49528e+06 1.36765 1.17201e+05 1.81440 G012.4294-00.0479
"" "average model method 2" 159 432.69230 1.19205 1.60057 1.76372 33.94213 1.54065 53.44338 23.01083 2100.0 0.20081 1.71118 0.12099 1.41209 350.02421 1.24299 2.02464e+01 8.58001 15.38764 1.82521 3.06737e+05 1.74534 3.46463e+04 1.37702 11.31404 1.54065 8.41200e+01 1.72592 1.30541e-03 1.37262 3.92937e+05 1.68582 3.42898e+05 2.66566 3.37090e+05 2.56965 4.95714e+04 1.77714 G012.8131-00.1976
"" "average model method 2" 27 30.16684 1.51203 0.34426 2.87304 7.40700 1.34133 70.93280 12.48672 1900.0 37.43332 24.65217 0.06888 2.07430 12.08838 2.11147 4.29655e+01 5.46008 9.77129 1.86922 5.79480e+03 5.43192 1.61189e+04 1.55084 2.46900 1.34133 1.23247e+02 1.79397 8.11726e-05 1.77812 9.81399e+03 1.43481 2.42212e+03 1.30783 1.88273e+03 1.16013 1.50809e+05 2.17823 G012.9995-00.3583
"" "average model method 2" 333 318.95130 1.62653 0.28697 3.50227 47.55713 1.74920 60.82443 17.27162 4600.0 47.10448 39.23449 0.24533 2.30914 157.34600 1.95093 4.17189e+01 13.51246 10.85473 1.50726 3.47922e+05 2.71757 4.25709e+04 1.21024 15.85238 1.74920 3.08601e+02 2.05134 3.14076e-04 2.25493 3.96305e+05 2.60911 1.25922e+05 2.34200 7.03603e+04 1.15056 2.41479e+05 2.40866 G013.2099-00.1428
"" "average model method 2" 54 114.37325 1.27926 0.12375 1.81233 16.85142 1.52871 62.43059 17.31092 1900.0 11.54953 11.39171 0.22371 1.47495 57.30092 1.57978 4.33673e+01 13.30483 5.76768 1.50254 3.02583e+04 2.58167 3.17148e+04 1.29380 5.61714 1.52871 2.76929e+02 1.56048 7.44905e-05 1.46330 3.73796e+04 2.38289 1.02313e+04 1.16315 9.12466e+03 1.06775 3.48217e+05 1.54039 G013.3850+00.0684
