No.	Source_Name	Source_Type	RA(J2000)	Dec(J2000)	Flux(mJy) Angular_Size(arcsec)	MAGPIS 5GHz Flux(mJy)	Spectral index	S3_6	S4_5	S5_8	S8_0	Dist_h(kpc)	Diam(pc)	log(Tb)	log(Lbol)	Dist_G(kpc)
66	G020.9636-00.0744 UCHII	18:29:37.32	-10:40:11.33	11.28	2.49	20.82	-0.24		 	 	 	11.8	0.11	1.91	4.65	4.89
67	G021.3571-00.1766 UCHII	18:30:43.94	-10:22:06.63	24.93	1.91	16.75	-0.18	10.17	20.53	140.53	390.77	13.2	0.13	1.95	4.79	6.08
68	G021.3855-00.2541 UCHII	18:31:03.92	-10:22:45.28	113.91	2.22	44.61	0.34		 	 	 	10.3	0.06	2.52	5.45	3.91
69	G021.6034-00.1685 UCHII	18:31:10.00	-10:08:46.59	19.84	3.74	207.13	0.71	53.14	108.23	504.32	1600.15	10.3	0.08	3.05	5.62	3.91
70	G021.8751+00.0075 UCHII	18:31:02.48	-09:49:30.79	566.73	11.48	46.78	-0.3	27.22	34.99	282.22	754.83	16.2	0.27	1.84	4.41	8.87
71	G023.1974-00.0006 UCHII	18:33:32.91	-08:39:18.40	10.01	2.28	1064.73	-0.15	211.88	314.86	2194.29	6067.15	13.8	0.76	2.32	4.94	6.71
72	G023.2654+00.0765 UCHII	18:33:23.91	-08:33:34.45	88.57	4.59	18.65	-0.22	70.96	90.61	695.26	1881.53	4.8	0.04	1.98	3.95	4.5
73	G023.4553-00.2010 UCHII	18:34:44.92	-08:31:07.11	14.39	1.71	149.89	-0.02	68.81	117.37	853.94	2236.12	4.9	0.1	2.31	3.99	4.44
74	G023.4835+00.0964 UCHII	18:33:44.04	-08:21:23.52	8.23	2.15	3.16	0.66		 	 	 	5.8	0.048	2.38	4.24	3.93
75	G023.7110+00.1705 UCHII	18:33:53.47	-08:07:13.69	208.50	4.69	7.96	0.09	42.91	55.98	178.26	298.54	5.2	0.038	1.94	4.04	4.27
76	G023.8618-00.1250 UCHII	18:35:13.95	-08:07:23.08	39.16	4.05	439.25	-0.09	51.05	113.25	649.34	1720.71	7.5	0.2	2.54	5.02	4.08
77	G023.8985+00.0647 UCHII	18:34:37.23	-08:00:10.29	43.42	4.10	548.53	-0.23	227.87	324.14	1738.13	5138.15	6.5	0.14	2.67	5.05	3.65
78	G023.9564+00.1493 UCHII	18:34:25.20	-07:54:45.83	1161.18	13.14	38.86	-0.17	37.45	56.44	417.85	976.6	10.7	0.2	2.07	4.81	4.52
79	G024.1839+00.1199 UCHII	18:34:57.21	-07:43:26.58	3.79	1.69	115.83	-0.68	54.81	89.85	607.22	1417.84	12.6	0.23	2.1	5.2	5.93
80	G024.4698+00.4954 UCHII	18:34:08.43	-07:17:50.26	29.50	2.86	2658.26	-0.1	1775.59	2305.34	13569.53	37519.12	5	0.32	2.52	5.28	4.42
81	G024.4721+00.4877 UCHII	18:34:10.33	-07:17:56.03	55.19	3.86	3.44	0.09	30.76	61.75	268.6	667.4	7.8	0.064	1.81	4.14	3.48
82	G024.4736+00.4950 UCHII	18:34:08.89	-07:17:41.31	99.43	5.62		-1.78		 	524.66	 	5.51	0.064	2.25	 	4.17
83	G024.4921-00.0386 UCHII	18:36:05.69	-07:31:23.26	140.12	4.44		-1.21	150.3	188.65	941.01	4025.91	5.51	0.096	2.26	4.87	4.17
84	G024.5065-00.2224 UCHII	18:36:46.81	-07:35:41.07	205.57	6.19		-1.1	106.84	139.24	961.1	3734.72	5.5	0.14	2.19	4.32	4.17
85	G024.8497+00.0881 UCHII	18:36:18.18	-07:08:51.31	19.93	3.67	332.61	-0.17		 	 	 	6.3	0.13	2.54	4.44	3.8
86	G025.3809-00.1815 UCHII	18:38:15.00	-06:48:01.19	460.83	8.46	458.99	-0.2	290.25	405.36	2601.48	7109.98	5.8	0.17	2.42	4.39	4.02
87	G025.3824-00.1812 UCHII	18:38:15.26	-06:47:52.60	200.13	3.44	20.98	-1.2	77.97	110.89	541.36	1424.67	5.77	0.092	1.86	5.14	4.07
88	G025.3948+00.0332 UCHII	18:37:30.58	-06:41:19.60	296.86	4.64	1799.06	-0.6		 	 	 	2.7	0.11	2.5	 	6.17
89	G025.3970+00.5614 UCHII	18:35:37.44	-06:26:38.34	121.17	2.04	929.75	-0.58		 	 	 	2.7	0.041	2.92	4.82	6.17
90	G025.3981-00.1411 UCHII	18:38:08.27	-06:45:58.16	2132.24	8.60	549.92	-0.02	72.83	260.66	1129.2	2389.8	17.1	0.36	2.83	5.78	10.1
91	G025.3983+00.5617 UCHII	18:35:37.53	-06:26:33.60	51.93	2.51		0.5	24.32	93.97	381.4	913.01	14	0.095	3.16	5.29	7.3
92	G025.3991-00.1366 UCHII	18:38:07.42	-06:45:46.77	29.38	3.36	4590.88	0.12	389.84	1001.96	5658.69	16138.67	5.6	0.23	3.15	5.1	4.2
93	G025.7157+00.0487 UCHII	18:38:02.80	-06:23:47.04	20.79	2.36		-0.25	40.72	105.87	506.75	1177.7	14	0.14	2.61	 	7.3
94	G025.8011-00.1568 UCHII	18:38:56.36	-06:24:53.36	31.95	1.79		-1.5	49.22	94.48	811.57	2525.76	5.6	0.081	2.11	 	4.2
95	G026.0083+00.1369 UCHII	18:38:16.28	-06:05:45.56	6.58	1.84	6.82	0.09	119.78	165.5	818.64	2358.09	9.5	0.083	2.26	5.41	4.12
96	G026.0916-00.0565 UCHII	18:39:06.99	-06:06:38.48	11.59	2.56	56.84	0.49		 	 	 	5.6	0.048	2.69	4.13	4.23
97	G026.1094-00.0937 UCHII	18:39:16.92	-06:06:43.01	4.72	1.58	8.13	0.68		 	 	 	13.8	0.073	1.98	3.07	7.17
98	G026.5976-00.0236 UCHII	18:39:55.87	-05:38:45.58	69.92	2.65	110.38	-1.52	23.51	32.99	277.79	722.48	13.1	0.13	1.94	5.09	6.62
99	G026.6089-00.2121 UCHII	18:40:37.51	-05:43:20.10	201.41	6.53	7.73	-0.47	26.39	47.37	150.53	342.55	13.3	0.1	1.97	4.93	6.79
100	G026.8304-00.2067 UCHII	18:41:00.84	-05:31:22.04	12.31	1.98	145.65	0.03	59.31	232.09	849.86	1416.62	13.4	0.14	2.69	5.19	6.94
101	G027.1859-00.0816 UCHII	18:41:13.27	-05:08:57.88	19.78	2.03	380.66	-0.02	130.91	147.16	611.47	1534.05	7.6	0.24	2.36	4.02	3.81
102	G027.2800+00.1447 UCHII	18:40:35.17	-04:57:45.66	428.04	5.74	19.08	-0.04	18.09	22.84	231.67	635.05	11.9	0.075	2.19	4.19	5.77
103	G027.3644-00.1657 UCHII	18:41:50.98	-05:01:45.15	60.14	2.26	30.5	-0.26	30.24	66.5	339.28	921.01	13.2	0.09	2.37	5.65	6.85
104	G027.5637+00.0845 UCHII	18:41:19.39	-04:44:20.65	162.53	12.28	769.86	0.07	66.41	118.31	711.42	2160.3	12.8	0.34	2.8	5.1	6.53
105	G027.9352+00.2056 UCHII	18:41:34.34	-04:21:06.41	4.44	1.60	98.6	0.33	31.39	60.12	409.05	1311.5	8	0.066	2.76	5.37	3.93
106	G028.1985-00.0503 UCHII	18:42:58.14	-04:14:04.87	136.26	3.05	149.05	0.04	113.44	121.82	620.61	1633.34	9.9	0.59	1.72	4.22	4.59
107	G028.2003-00.0494 UCHII	18:42:58.12	-04:13:57.51	161.66	2.19	20.34	-0.48		 	 	 	12.1	0.094	1.93	5.16	6.08
108	G028.2879-00.3641 UCHII	18:44:15.10	-04:17:55.96	552.77	4.61	395.1	0.03		 	 	 	5.8	0.076	2.86	 	4.36
109	G028.4518+00.0027 UCHII	18:43:14.61	-03:59:06.60	33.75	2.32	395.27	0.45		 	 	 	5.8	0.045	3.22	5.73	4.36
110	G028.5816+00.1447 UCHII	18:42:58.46	-03:48:17.26	40.03	5.31	939.64	0.29		 	 	 	11.6	0.25	3.11	5.68	5.76
111	G028.6082+00.0185 UCHII	18:43:28.48	-03:50:19.16	210.15	3.62	73.57	-0.31	7.35	14.4	157.58	426.25	16.5	0.14	2.49	5.03	9.89
112	G028.6523+00.0273 UCHII	18:43:31.41	-03:47:45.34	228.85	5.66	65.99	-0.08	22.57	35.81	272.12	688.78	16.5	0.41	1.84	4.38	9.91
113	G028.6869+00.1770 UCHII	18:43:03.23	-03:41:45.79	102.98	5.28	379.49	0.16	108.13	194.96	1265.97	3237.33	7.5	0.12	2.89	5.06	4.07
114	G029.7704+00.2189 UCHII	18:44:53.16	-02:42:49.09	49.98	6.57	145.12	-0.14	110.74	147.02	1280.73	3364.81	9.8	0.24	2.26	4.45	4.71
115	G029.9559-00.0168 UCHII	18:46:04.18	-02:39:21.28	3116.20	9.62	36.37	-0.39	26.98	37.95	180	487.54	9.84	0.31	1.75	 	4.89
116	G030.0096-00.2734 UCHII	18:47:04.71	-02:43:31.22	4.54	1.62	5643.42	0.37		 	 	 	7.4	0.34	3.22	5.54	4.24
117	G030.2527+00.0540 UCHII	18:46:21.41	-02:21:35.31	96.79	5.81	5.1	0.97		8.83	23.89	40.24	7.4	0.058	1.93	4.43	4.25
118	G030.5313+00.0205 UCHII	18:46:59.18	-02:07:36.44	85.54	5.54	158.43	-0.21	42.9	74.83	647.62	1848.75	10.2	0.28	2.15	4.39	5.15
119	G030.5353+00.0204 UCHII	18:46:59.36	-02:07:24.69	710.36	6.30	488.53	-0.82	221.93	209.73	1066.1	3049.8	11.4	0.29	2.13	4.36	5.94
120	G030.5887-00.0428 UCHII	18:47:18.88	-02:06:17.25	92.37	1.79	1385.62	0.19	280.41	403.72	2221.58	5625.5	11.4	0.34	2.94	5.58	5.94
121	G030.6881-00.0718 UCHII	18:47:36.15	-02:01:50.78	466.99	10.81	99.57	2.16	101.76	409.13	1366.37	1795.32	11.8	0.1	3.15	5.4	6.23
122	G030.7197-00.0829 UCHII	18:47:41.79	-02:00:22.33	969.33	4.59	992.36	-0.27	193.14	360.17	1842.89	5928.66	4.9	0.25	2.29	 	4.96
123	G030.7532-00.0511 UCHII	18:47:38.67	-01:57:44.25	301.66	3.29	873.67	0.64	103	102.44	422.69	1044.04	4.9	0.1	3.35	 	4.96
124	G030.7579+00.2042 UCHII	18:46:44.53	-01:50:28.59	26.23	4.15	165.02	-0.47		 	894.17	 	4.9	0.069	3.13	4.85	4.97
125	G030.7661-00.0348 UCHII	18:47:36.61	-01:56:35.88	87.53	3.26	4.78	-0.31	21.78	53.65	494.34	1557.61	7.22	0.14	1.87	4.28	4.35
126	G030.8662+00.1143 UCHII	18:47:15.70	-01:47:10.93	325.47	3.09	19.92	-0.86	821.01	1030.24	2357.18	5130.34	7.22	0.1	2.6	 	4.35
127	G030.9581+00.0869 UCHII	18:47:31.61	-01:43:01.47	25.79	3.20	476.58	0.7		 	 	 	11.9	0.16	3.22	5.61	6.34
128	G031.0495+00.4697 UCHII	18:46:19.86	-01:27:39.46	13.64	1.79	18.13	-0.44	94.82	338.15	1289.53	2303.79	11.8	0.16	2.09	4.78	6.28
129	G031.0595+00.0922 UCHII	18:47:41.61	-01:37:27.39	11.70	2.01		0.3	15.35	22.91	179.98	452.47	12.2	0.1	2.32	4.23	6.59
130	G031.1590+00.0465 UCHII	18:48:02.27	-01:33:23.97	7.04	2.02	16.49	-0.5	13.25	21.25	237.44	652.68	13.4	0.084	2.15	4.55	7.53
131	G031.1596+00.0448 UCHII	18:48:02.71	-01:33:24.83	23.83	1.69	8.65	-0.31	12.23	26.6	163.52	473.97	2.7	0.018	1.93	 	6.35
132	G031.2420-00.1106 UCHII	18:48:44.69	-01:33:14.49	296.24	7.81	19.34	0.26	11.28	24.03	141.49	386.67	2.7	0.022	2.61	3.73	6.35
133	G031.2435-00.1103 UCHII	18:48:45.04	-01:33:10.60	353.06	2.69	800.06	-0.37	102.54	149.96	894.5	2332.76	12.7	0.48	2.38	 	7.03
134	G031.2448-00.1132 UCHII	18:48:45.76	-01:33:11.87	37.39	3.14	601.08	0.18	297.1	212.2	513.08	1265.34	13	0.14	3.38	5.59	7.23
135	G031.2801+00.0632 UCHII	18:48:11.82	-01:26:31.01	268.86	9.33	46.07	-0.33	30.57	44.75	305.07	847.95	13	0.18	2.27	 	7.23
136	G031.3959-00.2570 UCHII	18:49:33.26	-01:29:09.34	80.96	10.03	593.67	-0.15		 	 	 	7.1	0.32	2.18	4.75	4.42
137	G031.4130+00.3065 UCHII	18:47:34.29	-01:12:44.54	954.80	9.38	195.56	-0.58	255.27	399.77	1789.22	4898.04	9.1	0.44	1.6	5.67	4.8
138	G031.5815+00.0744 UCHII	18:48:42.57	-01:10:04.47	14.48	2.41	1798.53	0.02	40.42	121.78	1058.07	3157.47	5.6	0.25	2.73	5.25	4.73
139	G032.0297+00.0491 UCHII	18:49:37.05	-00:46:50.22	26.68	4.27	20.26	-0.16	12.1	38.12	280.5	781.33	7.2	0.066	2.09	5.22	4.45
140	G032.1502+00.1329 UCHII	18:49:32.55	-00:38:05.53	533.63	12.38	34.34	-0.07	195.53	196.68	1479.13	3958.75	4.9	0.095	1.86	4.03	5.06
141	G032.2730-00.2258 UCHII	18:51:02.32	-00:41:24.61	309.28	9.83	1207.3	-0.13	714.72	718.35	4660.34	13715.66	7.2	0.43	2.23	4.79	4.52
142	G032.4727+00.2036 UCHII	18:49:52.55	-00:18:57.04	97.38	2.26	735.13	0	234.33	227.17	1293.33	3634.94	12.8	0.6	2.19	4.59	7.22
143	G032.7398+00.1940 UCHII	18:50:23.82	-00:04:57.25	3.39	1.59	180.96	0.54	205.35	346.68	784.93	1495.9	11.1	0.091	2.97	5.6	6.02
144	G032.7492-00.0643 UCHII	18:51:20.01	-00:11:30.91	13.12	2.14	3.23	0.26	9.64	17.09	126.21	335.04	12.9	0.099	1.82	4.08	7.36
145	G032.7966+00.1909 UCHII	18:50:30.95	-00:01:56.54	3123.37	10.01	12.82	-0.07	288.71	537.69	1380.26	1616.34	11.7	0.085	2.15	4.49	6.47
146	G032.7982+00.1937 UCHII	18:50:30.27	-00:01:50.37	17.22	1.99	3841.71	0.61		 	 	 	13.3	0.64	3.18	5.05	7.69
147	G032.9273+00.6060 UCHII	18:49:16.29	+00:16:22.39	285.57	6.81		0.21		 	 	 	13.3	0.084	2.33	 	7.69
148	G033.1328-00.0923 UCHII	18:52:08.05	+00:08:12.59	378.59	4.02		0.07	146	182.68	936.85	2626.01	18.6	0.6	2.48	5.54	12.4
149	G033.4163-00.0036 UCHII	18:52:20.31	+00:25:48.68	75.16	8.78	949.93	0.53	19.1	79.33	265.9	586.27	9.4	0.17	3.06	5.28	5.18
150	G033.8100-00.1864 UCHII	18:53:42.20	+00:41:47.17	107.63	2.19	173.65	-0.29	274.35	259.63	997.27	2321.88	9.4	0.39	1.68	4.37	5.22
151	G033.9145+00.1105 UCHII	18:52:50.43	+00:55:28.68	842.22	10.14	152.81	0.46	318.18	394.98	3830.11	6988.93	11.1	0.086	3.04	5.71	6.22
152	G034.0901+00.4365 UCHII	18:51:59.76	+01:13:47.00	9.62	2.41	1661.36	0.04	711.4	925.4	5839.29	17553.89	6.7	0.32	2.6	5.88	4.76
153	G034.1978-00.5912 UCHII	18:55:51.11	+00:51:25.14	10.54	3.26		-1.02	37.11	40.69	354.66	1060.27	11.4	0.11	1.91	4.36	6.46
