No.	Source_Name	Source_Type	RA(J2000)	Dec(J2000)	Flux(mJy) Angular_Size(arcsec)	MAGPIS 5GHz Flux(mJy)	Spectral index	S3_6	S4_5	S5_8	S8_0	Dist_h(kpc)	Diam(pc)	log(Tb)	log(Lbol)	Dist_G(kpc)
190	G043.1651-00.0283 UCHII	19:10:22.01	+09:05:03.22	2714.29	9.61		0.24		 	 	 	11.1	0.51	3.16	5.47	7.6
191	G043.1652+00.0129 UCHII	19:10:12.90	+09:06:11.57	160.07	2.07		0.22		 	 	 	11.1	0.075	3.26	 	7.6
192	G043.1657+00.0116 UCHII	19:10:13.23	+09:06:11.46	98.25	1.84		-1.05		140.18	1391.33	2510.54	11.1	0.059	3.15	 	7.6
193	G043.1665+00.0106 UCHII	19:10:13.55	+09:06:12.52	1365.68	3.68		0.48		182.69	1663.19	3472.96	11.1	0.18	3.69	5.68	7.6
194	G043.1674+00.0128 UCHII	19:10:13.16	+09:06:18.57	74.54	1.73		-0.77	43.36	134.68	861.46	2752.1	11.1	0.093	3.09	 	7.6
195	G043.1677+00.0196 UCHII	19:10:11.76	+09:06:32.87	115.47	4.16		-1.12	62.04	141.54	751.87	2375.49	11.1	0.21	2.51	 	7.6
196	G043.1684+00.0087 UCHII	19:10:14.15	+09:06:15.01	185.25	2.31		-0.97		 	 	 	11.1	0.097	3.23	 	7.6
197	G043.1684+00.0124 UCHII	19:10:13.36	+09:06:21.41	63.60	1.50		-0.84	182.89	342.97	900.96	2483.86	11.1	0.081	3.14	 	7.6
198	G043.1699+00.0115 UCHII	19:10:13.73	+09:06:24.59	43.79	2.13		-1.36	40.44	105.66	647.46	1682.22	11.1	0.081	2.67	 	7.6
199	G043.1701+00.0078 UCHII	19:10:14.72	+09:06:19.18	1108.08	7.53		-0.41		 	1189.51	 	11.1	0.4	2.98	 	7.61
200	G043.1706-00.0003 UCHII	19:10:16.37	+09:06:07.21	170.72	1.82		-0.56	23.93	47.47	447.07	 	11.1	0.054	3.4	5.84	7.61
201	G043.1716+00.0001 UCHII	19:10:16.39	+09:06:10.98	51.74	2.66		-1.73	55.98	103.09	790.68	2386.61	11.1	0.12	2.55	 	7.61
202	G043.1720+00.0080 UCHII	19:10:14.71	+09:06:25.78	98.59	2.62		-1.57		 	 	 	11.1	0.11	2.85	 	7.61
203	G043.1763+00.0248 UCHII	19:10:11.54	+09:07:06.65	159.42	4.51		-1.05	133.77	263.68	935.86	3289.25	11.1	0.23	2.58	5.24	7.61
204	G043.1778-00.5181 UCHII	19:12:08.78	+08:52:05.98	181.65	7.16		-0.1	160.36	233.12	1549.17	4098.2	8.2	0.28	2.24	5.17	6.15
205	G043.2371-00.0453 UCHII	19:10:33.51	+09:08:24.47	178.78	3.77		-0.6	25.99	78.06	479.57	1437.11	11.9	0.2	2.79	5.49	8.15
206	G043.3064-00.2114 UCHII	19:11:17.05	+09:07:28.96	20.08	2.53		0.78	29.58	68.73	322.74	807.95	4.4	0.043	2.19	5.15	6.1
207	G043.7954-00.1274 UCHII	19:11:54.03	+09:35:49.99	24.58	1.83		0.41	55.9	293.62	939.12	1831.11	9.2	0.045	2.56	5.51	6.63
208	G043.7960-00.1286 UCHII	19:11:54.37	+09:35:49.75	9.78	2.38		-0.53	59.29	134.84	798.18	1934.54	9.2	0.08	1.93	 	6.63
209	G043.8894-00.7840 UCHII	19:14:26.11	+09:22:35.18	528.18	5.38		0.29	235.66	375.67	1818.43	5420.25	4.4	0.11	2.95	4.23	6.14
210	G043.9675+00.9939 UCHII	19:08:11.03	+10:16:02.98	41.33	1.71			32.88	46.75	202.65	613.68	14.1	0.12	2.84	5.28	9.93
211	G044.3103+00.0410 UCHII	19:12:15.73	+10:07:53.58	5.47	1.68		0.16	31.5	41.65	265.33	653.53	8	0.065	1.98	5.42	6.24
212	G044.4228+00.5377 UCHII	19:10:41.00	+10:27:39.91	4.27	1.60		0	4.97	6.76	77.43	272.3	17.9	0.14	1.91	4.51	13.2
213	G045.0694+00.1323 UCHII	19:13:21.85	+10:50:47.63	46.17	1.96		0.02		 	 	 	4.4	0.028	2.77	 	6.23
214	G045.0712+00.1321 UCHII	19:13:22.11	+10:50:52.63	146.67	1.89		1.05		 	 	 	4.4	0.026	3.3	5.64	6.23
215	G045.1223+00.1321 UCHII	19:13:27.96	+10:53:35.69	2984.27	7.46		0.58		 	 	 	4.4	0.16	3.42	5.31	6.23
216	G045.1242+00.1356 UCHII	19:13:27.44	+10:53:47.90	62.55	4.83		-0.99	166.07	260.89	4049.91	8943.36	4.4	0.098	2.12	 	6.23
